name,href,author,score,record,introduction,tag
1984,https://read.douban.com//ebook/3021999/,紫金陈,9.4,900,"在20世纪的西方文学中,乔治·奥威尔可谓声名显赫。他凭着强烈的社会良知和敏锐的政治洞察力生动地再现了极权主义盛行时的社会生活,被称为“时代的良心……过去几十年英语文学中最伟大的道德力…
（更多）","['英国文学', '孙仲旭', '乔治·奥威尔', '译林出版社', '反乌托邦三部曲', '2014上半年电子书TOP50', '一九八四']"
,,,,,,
沉沦,https://read.douban.com//ebook/7954115/,紫金陈,8.2,1759,"《沉沦》是郁达夫的第一部小说集，在《沉沦》里作者完全无视社会道德观念，大胆地写出被情欲折磨的青年的心灵，短篇小说《沉沦》是这部小集中最可注意的一篇。 一个在日本留学的中国人爱上了…
（更多）","['随笔', '散文', '郁达夫', '免费公版书']"
,,,,,,
杀死一只知更鸟,https://read.douban.com//ebook/19934382/,沈从文,9.4,534,"二十世纪三十年代，大萧条时期美国南部的一个小镇，三个孩子平静的生活被两桩冤案彻底打破。传闻与事实，坚强与软弱，正义与邪恶，忠诚与背叛，他们在痛苦与矛盾中艰难地拨开生活的重重迷雾，…
（更多）","['小说', '经典', '美国文学', '普利策奖', '哈珀·李', '奥斯卡奖']"
,,,,,,
守夜者2：黑暗潜能 ,https://read.douban.com//ebook/55218048/,〔日〕是枝裕和,8.2,25,"二十二人越狱案的幕后黑手“幽灵骑士”，在严密把守的病房内离奇暴毙。 唯一的线索是一枚独特的三角针头。 但黑暗中，他的“游魂”似乎尚未湮灭。一桩又一桩的奇诡案件仍在上演： 平静的小…
（更多）","['小说', '悬疑', '推理', '探案', '推理小说', '限时特价', '法医秦明', '守夜者']"
,,,,,,
突然就走到了西藏,https://read.douban.com//ebook/707838/,郑有杰,8.4,667,"陈坤动情自述从出身贫寒的“北漂”青年一夜成名到找回自我，继而重新上路的成长历程。关于亲情与友情、家庭与事业、名利与信仰的心灵全纪录。 本书记录了陈坤带领十名大学生志愿者行走西藏过…
（更多）","['随笔', '旅行', '西藏', '成长', '心灵', '限时特价', '陈坤']"
,,,,,,
动物农场,https://read.douban.com//ebook/13428753/,〔英〕乔治·奥威尔(George Orwell),9.6,273,"《动物农场》是奥威尔最优秀的作品之一，是一则入木三分的反乌托的政治讽喻寓言。农场的一群动物成功地进行了一场“革命”，将压榨他们的人类东家赶出农场，建立起一个平等的动物社会。然而，…
（更多）","['小说', '英国', '政治', '外国文学', '反乌托邦', '乔治·奥威尔', '动物农场']"
,,,,,,
遮蔽的天空,https://read.douban.com//ebook/56409846/,荣如德,2,"《遮蔽的天空》讲述了我们一生中会遇到的绝大多数问题：爱情、婚姻、旅行、死亡、存在价值、人生意义……意识到人生虚无的人，比任何人都更渴望真实地活着。 二战结束后，三个美国知识分子前…
（更多）","['小说', '经典', '长篇小说', '美国文学', '外国文学', '影视原著', '读客外国小说文库', '保罗·鲍尔斯']",
,,,,,,
许三观卖血记,https://read.douban.com//ebook/30541634/,〔美〕保罗·鲍尔斯,9.4,1532,"《许三观卖血记》是余华1995年创作的一部长篇小说。《许三观卖血记》以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述了许三观靠着卖血渡过了人生…
（更多）","['小说', '中国', '文学', '中国文学', '限时特价', '余华', '余华作品（2012版）']"
,,,,,,
余生皆假期,https://read.douban.com//ebook/9549233/,阳曦,8.6,593,"因父亲出轨而散伙的一家三口在即将分道扬镳时收到一条交友短信，发信人是打算从黑道退出的小混混冈田——去交一个朋友，完成这项任务，他才能成功脱身。 于是，失败的父亲、神秘的母亲和青春…
（更多）","['日本', '悬疑', '推理', '长篇小说', '外国文学', '午夜文库', '限时特价', '伊坂幸太郎']"
,,,,,,
